"CONDITION_CODE","DEFINITION","CONDITION"
"1","whole fish",1.000000
"3","whole fish, bled only",3.000000
"4","gutted, head on",4.000000
"5","headed and gutted",5.000000
"7","headed and gutted, western cut",7.000000
"8","headed and gutted, eastern cut",8.000000
"99","shells",99.000000
"52","clucker - weathervane",52.000000
"98","crushed",
"96","dead or alive",
