"ID","N","df","90_2tail","95_2tail","99_2tail"
1,2,1,6.313751,12.706204,63.656741
2,3,2,2.919985,4.302652,9.924843
3,4,3,2.353363,3.182446,5.840909
4,5,4,2.131846,2.776445,4.604094
5,6,5,2.015048,2.570581,4.032142
6,7,6,1.943180,2.446911,3.707428
7,8,7,1.894578,2.364624,3.499483
8,9,8,1.859548,2.306004,3.355387
9,10,9,1.833112,2.262157,3.249835
10,11,10,1.812461,2.228138,3.169272
11,12,11,1.795884,2.200985,3.105806
12,13,12,1.782287,2.178812,3.054539
13,14,13,1.770933,2.160368,3.012275
14,15,14,1.761310,2.144786,2.976842
15,16,15,1.753050,2.131449,2.946712
16,17,16,1.745883,2.119905,2.920781
17,18,17,1.739606,2.109815,2.898230
18,19,18,1.734063,2.100922,2.878440
19,20,19,1.729132,2.093024,2.860934
20,21,20,1.724718,2.085963,2.845339
21,22,21,1.720742,2.079613,2.831359
22,23,22,1.717144,2.073873,2.818756
23,24,23,1.713871,2.068657,2.807335
24,25,24,1.710882,2.063898,2.796939
25,26,25,1.708140,2.059538,2.787435
26,27,26,1.705617,2.055529,2.778714
27,28,27,1.703288,2.051830,2.770682
28,29,28,1.701130,2.048407,2.763262
29,30,29,1.699126,2.045229,2.756385
30,31,30,1.697260,2.042272,2.749995
31,32,31,1.695518,2.039513,2.744041
32,33,32,1.693888,2.036933,2.738481
33,34,33,1.692360,2.034515,2.733276
34,35,34,1.690924,2.032244,2.728394
35,36,35,1.689572,2.030107,2.723805
36,37,36,1.688297,2.028093,2.719484
37,38,37,1.687093,2.026192,2.715408
38,39,38,1.685954,2.024394,2.711557
39,40,39,1.684875,2.022690,2.707913
40,41,40,1.683851,2.021075,2.704459
41,42,41,1.682878,2.019540,2.701181
42,43,42,1.681952,2.018081,2.698066
43,44,43,1.681070,2.016692,2.695102
44,45,44,1.680229,2.015367,2.692278
45,46,45,1.679427,2.014103,2.689585
46,47,46,1.678660,2.012895,2.687013
47,48,47,1.677926,2.011740,2.684555
48,49,48,1.677224,2.010634,2.682204
49,50,49,1.676550,2.009575,2.679951
50,51,50,1.675905,2.008559,2.677793
51,52,51,1.675284,2.007583,2.675722
52,53,52,1.674689,2.006646,2.673733
53,54,53,1.674116,2.005745,2.671822
54,55,54,1.673564,2.004879,2.669984
55,56,55,1.673033,2.004044,2.668215
56,57,56,1.672522,2.003240,2.666512
57,58,57,1.672028,2.002465,2.664870
58,59,58,1.671552,2.001717,2.663286
59,60,59,1.671093,2.000995,2.661758
60,61,60,1.670648,2.000297,2.660283
61,62,61,1.670219,1.999623,2.658857
62,63,62,1.669804,1.998971,2.657478
63,64,63,1.669402,1.998340,2.656145
64,65,64,1.669013,1.997729,2.654854
65,66,65,1.668635,1.997137,2.653604
66,67,66,1.668270,1.996564,2.652393
67,68,67,1.667916,1.996008,2.651219
68,69,68,1.667572,1.995468,2.650081
69,70,69,1.667238,1.994945,2.648976
70,71,70,1.666914,1.994437,2.647904
71,72,71,1.666599,1.993943,2.646863
72,73,72,1.666293,1.993463,2.645851
73,74,73,1.665996,1.992997,2.644868
74,75,74,1.665706,1.992543,2.643912
75,76,75,1.665425,1.992102,2.642983
76,77,76,1.665151,1.991672,2.642078
77,78,77,1.664884,1.991254,2.641197
78,79,78,1.664624,1.990847,2.640340
79,80,79,1.664371,1.990450,2.639504
80,81,80,1.664124,1.990063,2.638690
81,82,81,1.663883,1.989686,2.637897
82,83,82,1.663649,1.989318,2.637123
83,84,83,1.663420,1.988959,2.636368
84,85,84,1.663196,1.988609,2.635632
85,86,85,1.662978,1.988267,2.634913
86,87,86,1.662765,1.987934,2.634212
87,88,87,1.662557,1.987608,2.633527
88,89,88,1.662354,1.987289,2.632858
89,90,89,1.662155,1.986978,2.632204
90,91,90,1.661961,1.986674,2.631565
91,92,91,1.661771,1.986377,2.630940
92,93,92,1.661585,1.986086,2.630329
93,94,93,1.661403,1.985801,2.629732
94,95,94,1.661225,1.985523,2.629147
95,96,95,1.661051,1.985250,2.628575
96,97,96,1.660881,1.984984,2.628015
97,98,97,1.660714,1.984723,2.627467
98,99,98,1.660551,1.984467,2.626931
99,100,99,1.660391,1.984216,2.626405
