"","District","Bed","Station","set_lat","set_lon","haul","Sampler","species_code","size_class","scallop_no","sex","gonad","shell_height","first_annulus","field_age","mud_blister","worm","shell_damage","round_weight","meat_condition","meat_weight"
"1","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,5,2,3,98,30,3,0,0,0,0.085,0,0.012
"2","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,10,1,3,101,31,3,0,0,0,0.094,0,0.008
"3","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,2,2,3,103,22,3,0,0,0,0.093,0,0.009
"4","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,1,0,0,104,21,3,0,0,1,0.081,0,0.007
"5","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,4,1,3,101,23,4,0,0,0,0.09,0,0.006
"6","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,7,1,3,105,22,4,0,0,0,0.111,0,0.013
"7","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,5,2,3,113,26,4,0,0,0,0.115,0,0.011
"8","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,10,1,3,118,28,4,0,0,0,0.129,0,0.01
"9","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,4,1,3,109,30,5,0,0,0,0.138,0,0.01
"10","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,9,1,3,111,36,5,0,1,0,0.132,0,0.012
"11","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,8,1,3,111,33,5,0,0,0,0.111,0,0.011
"12","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,6,2,3,116,38,5,0,0,0,0.128,0,0.009
"13","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,9,2,3,116,37,5,0,0,0,0.142,0,0.015
"14","WKI","WK1","G34",59.82,-144.8,3,"MDS",74120,1,3,1,3,116,35,5,0,0,0,0.128,0,0.013
"15","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,8,1,3,117,34,5,0,0,0,0.143,0,0.013
"16","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,10,2,3,117,32,5,0,0,0,0.136,0,0.011
"17","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,9,1,3,117,31,5,0,0,0,0.138,0,0.008
"18","WKI","WK1","G34",59.82,-144.8,17,"MDS",74120,1,7,1,3,117,21,5,0,0,0,0.166,0,0.013
"19","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,8,1,3,118,35,5,0,0,0,0.127,0,0.009
"20","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,8,2,3,118,32,5,0,0,0,0.16,0,0.012
"21","WKI","WK1","G34",59.82,-144.8,17,"MDS",74120,1,2,2,3,119,35,5,0,0,0,0.156,0,0.013
"22","WKI","WK1","G34",59.82,-144.8,17,"MDS",74120,1,10,1,3,119,33,5,0,0,0,0.16,0,0.024
"23","WKI","WK1","G34",59.82,-144.8,17,"MDS",74120,1,9,1,3,119,30,5,0,0,0,0.154,0,0.011
"24","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,4,1,3,119,29,5,0,0,0,0.155,0,0.015
"25","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,1,2,3,120,36,5,0,0,0,0.18,0,0.015
"26","WKI","WK1","G34",59.82,-144.8,17,"MDS",74120,1,3,2,3,120,31,5,0,0,0,0.17,0,0.012
"27","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,2,1,3,122,33,5,0,0,0,0.192,0,0.03
"28","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,6,1,3,123,34,5,0,0,0,0.131,0,0.016
"29","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,5,2,3,123,32,5,0,0,0,0.047,0,0.01
"30","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,9,1,3,124,34,5,0,0,0,0.145,0,0.017
"31","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,2,2,1,110,35,6,1,0,0,0.112,0,0.009
"32","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,3,2,3,110,31,6,0,0,0,0.128,0,0.014
"33","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,7,1,3,112,31,6,0,0,0,0.128,0,0.012
"34","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,5,1,3,113,35,6,0,0,0,0.115,0,0.009
"35","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,10,2,3,114,22,6,0,1,0,0.129,0,0.011
"36","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,9,2,3,115,38,6,0,0,0,0.15,0,0.011
"37","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,7,1,3,116,37,6,0,0,3,0.149,0,0.014
"38","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,2,1,3,118,30,6,0,0,0,0.152,0,0.013
"39","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,2,2,3,119,33,6,0,0,0,0.158,0,0.009
"40","WKI","WK1","G34",59.82,-144.8,14,"MDS",74120,1,5,1,3,119,33,6,0,0,0,0.115,0,0.012
"41","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,3,1,3,119,29,6,0,0,0,0.182,0,0.014
"42","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,6,2,3,119,24,6,0,0,0,0.151,0,0.016
"43","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,7,2,3,120,30,6,0,0,0,0.133,0,0.014
"44","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,4,2,3,122,36,6,0,0,0,0.18,0,0.013
"45","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,7,1,3,122,32,6,0,0,0,0.16,0,0.012
"46","WKI","WK1","G34",59.82,-144.8,17,"MDS",74120,1,8,1,3,123,25,6,0,0,0,0.14,0,0.007
"47","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,6,1,3,127,28,6,0,0,0,0.173,0,0.013
"48","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,4,1,3,127,20,6,0,0,0,0.151,0,0.013
"49","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,3,1,3,128,21,6,0,0,0,0.153,0,0.013
"50","WKI","WK1","G34",59.82,-144.8,17,"MDS",74120,1,4,2,3,129,29,6,0,0,0,0.16,0,0.013
"51","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,5,2,3,130,34,6,0,0,0,0.188,0,0.016
"52","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,3,1,3,136,24,6,0,0,0,0.151,0,0.017
"53","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,4,1,3,115,28,7,0,0,0,0.139,0,0.01
"54","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,3,1,3,115,27,7,0,1,0,0.143,0,0.013
"55","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,3,1,3,117,35,7,0,0,0,0.15,0,0.009
"56","WKI","WK1","G34",59.82,-144.8,13,"MDS",74120,1,6,1,3,118,34,7,0,0,2,0.131,0,0.013
"57","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,10,2,3,120,32,7,0,0,0,0.155,0,0.01
"58","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,3,1,3,121,31,7,0,0,0,0.139,0,0.015
"59","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,3,1,3,126,29,7,0,0,0,0.174,0,0.016
"60","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,9,2,3,127,22,7,0,0,0,0.179,0,0.016
