"","District","Bed","Station","set_lat","set_lon","haul","Sampler","species_code","size_class","scallop_no","sex","gonad","shell_height","first_annulus","field_age","mud_blister","worm","shell_damage","round_weight","meat_condition","meat_weight"
"61","WKI","WK1","G34",59.82,-144.8,16,"MDS",74120,1,2,1,3,130,38,7,0,0,0,0.128,0,0.017
"62","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,1,1,3,110,24,8,0,0,0,0.131,0,0.009
"63","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,4,2,3,119,23,8,0,1,0,0.162,0,0.014
"64","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,1,2,3,123,33,8,0,0,0,0.185,0,0.017
"65","WKI","WK1","G34",59.82,-144.8,17,"MDS",74120,1,5,1,3,124,26,8,0,0,0,0.168,0,0.008
"66","WKI","WK1","G34",59.82,-144.8,13,"MDS",74120,1,1,1,3,127,30,8,0,0,0,0.184,0,0.017
"67","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,6,2,3,128,23,8,0,0,0,0.174,0,0.015
"68","WKI","WK1","G34",59.82,-144.8,3,"MDS",74120,1,5,2,3,129,27,8,0,0,0,0.218,0,0.016
"69","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,8,2,3,130,21,8,0,0,0,0.243,0,0.02
"70","WKI","WK1","G34",59.82,-144.8,8,"MDS",74120,1,7,2,3,135,25,8,0,0,0,0.226,0,0.02
"71","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,10,2,3,113,24,9,0,0,0,0.121,0,0.011
"72","WKI","WK1","G34",59.82,-144.8,4,"MDS",74120,1,6,2,3,122,21,9,0,0,0,0.157,0,0.013
"73","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,6,2,3,124,27,9,0,0,0,0.166,0,0.014
"74","WKI","WK1","G34",59.82,-144.8,3,"MDS",74120,1,6,2,3,127,35,9,0,0,0,0.168,0,0.018
"75","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,10,1,3,129,28,9,0,0,0,0.165,0,0.017
"76","WKI","WK1","G34",59.82,-144.8,13,"MDS",74120,1,2,1,3,132,32,9,0,0,0,0.174,0,0.016
"77","WKI","WK1","G34",59.82,-144.8,3,"MDS",74120,1,2,1,3,132,27,9,0,1,0,0.161,0,0.017
"78","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,5,1,3,134,22,9,0,0,1,0.188,0,0.02
"79","WKI","WK1","G34",59.82,-144.8,15,"MDS",74120,1,3,2,2,139,27,9,1,0,0,0.213,0,0.018
"80","WKI","WK1","G34",59.82,-144.8,3,"MDS",74120,1,8,2,3,118,29,10,0,0,0,0.168,0,0.017
"81","WKI","WK1","G34",59.82,-144.8,14,"MDS",74120,1,1,1,3,126,27,10,0,0,0,0.154,0,0.012
"82","WKI","WK1","G34",59.82,-144.8,3,"MDS",74120,1,10,2,3,127,30,10,0,0,0,0.165,0,0.016
"83","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,10,1,3,127,21,10,0,1,0,0.221,0,0.021
"84","WKI","WK1","G34",59.82,-144.8,14,"MDS",74120,1,7,2,3,128,29,10,0,0,0,0.161,0,0.016
"85","WKI","WK1","G34",59.82,-144.8,3,"MDS",74120,1,4,2,3,128,23,10,0,0,0,0.155,0,0.015
"86","WKI","WK1","G34",59.82,-144.8,9,"MDS",74120,1,2,1,3,129,24,10,0,0,0,0.169,0,0.011
"87","WKI","WK1","G34",59.82,-144.8,16,"MDS",74120,1,1,2,3,130,26,10,0,0,0,0.215,0,0.014
"88","WKI","WK1","G34",59.82,-144.8,1,"MDS",74120,1,8,1,0,133,30,10,0,0,1,0.194,0,0.019
"89","WKI","WK1","G34",59.82,-144.8,11,"MDS",74120,1,5,1,3,137,35,10,0,0,0,0.166,0,0.017
"90","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,8,1,3,137,34,10,0,1,0,0.275,0,0.02
"91","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,5,2,3,139,29,10,0,1,0,0.226,0,0.021
"92","WKI","WK1","G34",59.82,-144.8,2,"MDS",74120,1,1,1,2,140,30,10,0,0,0,0.162,0,0.019
"93","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,7,2,3,141,24,10,0,1,0,0.266,0,0.018
"94","WKI","WK1","G34",59.82,-144.8,10,"MDS",74120,1,1,2,3,129,28,11,0,0,0,0.222,0,0.014
"95","WKI","WK1","G34",59.82,-144.8,3,"MDS",74120,1,7,1,3,133,26,11,0,0,0,0.201,0,0.018
"96","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,8,2,3,133,24,11,0,0,0,0.203,0,0.018
"97","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,2,1,3,134,29,11,0,1,0,0.19,0,0.014
"98","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,1,1,3,135,32,11,0,0,3,0.21,0,0.016
"99","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,4,1,3,135,23,11,0,1,0,0.216,0,0.018
"100","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,2,2,3,136,27,11,0,1,0,0.252,0,0.02
"101","WKI","WK1","G34",59.82,-144.8,5,"MDS",74120,1,1,1,3,137,26,11,0,1,0,0.231,0,0.019
"102","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,6,1,3,139,30,11,0,0,0,0.255,0,0.017
"103","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,9,2,3,143,25,11,0,1,0,0.222,0,0.02
"104","WKI","WK1","G34",59.82,-144.8,6,"MDS",74120,1,5,2,3,144,29,11,0,0,0,0.253,0,0.02
"105","WKI","WK1","G34",59.82,-144.8,16,"MDS",74120,1,3,2,3,199,26,11,0,1,3,0.122,0,0.013
"106","WKI","WK1","G34",59.82,-144.8,13,"MDS",74120,1,3,2,3,128,37,12,0,0,0,0.143,0,0.014
"107","WKI","WK1","G34",59.82,-144.8,13,"MDS",74120,1,4,2,3,131,35,12,0,0,0,0.175,0,0.017
"108","WKI","WK1","G34",59.82,-144.8,7,"MDS",74120,1,1,2,3,136,33,12,0,0,0,0.21,0,0.019
"109","WKI","WK1","G34",59.82,-144.8,15,"MDS",74120,1,1,1,2,147,29,12,0,0,0,0.214,0,0.023
"110","WKI","WK1","G34",59.82,-144.8,11,"MDS",74120,1,3,1,3,132,34,13,0,0,0,0.15,0,0.014
"111","WKI","WK1","G34",59.82,-144.8,16,"MDS",74120,1,4,1,3,135,23,13,0,0,0,0.23,0,0.021
"112","WKI","WK1","G34",59.82,-144.8,14,"MDS",74120,1,4,2,3,137,30,14,0,0,3,0.316,0,0.018
"113","WKI","WK1","G34",59.82,-144.8,14,"MDS",74120,1,6,1,1,137,31,15,0,0,0,0.233,0,0.009
"114","WKI","WK1","G34",59.82,-144.8,13,"MDS",74120,1,5,0,1,140,36,15,0,0,0,0.124,0,0.008
"115","WKI","WK1","G34",59.82,-144.8,15,"MDS",74120,1,2,2,2,152,24,15,0,0,0,0.322,0,0.027
"116","WKI","WK1","G34",59.82,-144.8,14,"MDS",74120,1,3,2,3,134,34,16,0,0,3,0.168,0,0.012
"117","WKI","WK1","G34",59.82,-144.8,14,"MDS",74120,1,2,1,3,136,30,16,0,0,0,0.189,0,0.013
"118","WKI","WK1","G34",59.82,-144.8,11,"MDS",74120,1,6,1,2,149,30,17,0,1,0,0.197,0,0.016
"119","WKI","WK1","G34",59.82,-144.8,11,"MDS",74120,1,1,1,3,139,30,18,0,1,0,0.246,0,0.016
"120","WKI","WK1","G34",59.82,-144.8,11,"MDS",74120,1,9,1,2,139,35,19,1,0,0,0.197,0,0.014
"121","WKI","WK1","G34",59.82,-144.8,11,"MDS",74120,1,7,1,3,141,31,19,0,0,0,0.259,0,0.015
"122","WKI","WK1","G34",59.82,-144.8,11,"MDS",74120,1,2,1,1,144,29,21,0,1,0,0.228,0,0.013
"123","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,5,2,3,98,30,3,0,0,0,0.085,0,0.012
"124","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,10,1,3,101,31,3,0,0,0,0.094,0,0.008
"125","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,2,2,3,103,22,3,0,0,0,0.093,0,0.009
"126","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,1,0,0,104,21,3,0,0,1,0.081,0,0.007
"127","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,4,1,3,101,23,4,0,0,0,0.09,0,0.006
"128","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,7,1,3,105,22,4,0,0,0,0.111,0,0.013
"129","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,5,2,3,113,26,4,0,0,0,0.115,0,0.011
"130","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,10,1,3,118,28,4,0,0,0,0.129,0,0.01
"131","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,4,1,3,109,30,5,0,0,0,0.138,0,0.01
"132","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,9,1,3,111,36,5,0,1,0,0.132,0,0.012
"133","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,8,1,3,111,33,5,0,0,0,0.111,0,0.011
"134","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,6,2,3,116,38,5,0,0,0,0.128,0,0.009
"135","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,9,2,3,116,37,5,0,0,0,0.142,0,0.015
"136","WKI","WK1","H32",59.803,-144.872,3,"MDS",74120,1,3,1,3,116,35,5,0,0,0,0.128,0,0.013
"137","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,8,1,3,117,34,5,0,0,0,0.143,0,0.013
"138","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,10,2,3,117,32,5,0,0,0,0.136,0,0.011
"139","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,9,1,3,117,31,5,0,0,0,0.138,0,0.008
"140","WKI","WK1","H32",59.803,-144.872,17,"MDS",74120,1,7,1,3,117,21,5,0,0,0,0.166,0,0.013
"141","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,8,1,3,118,35,5,0,0,0,0.127,0,0.009
"142","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,8,2,3,118,32,5,0,0,0,0.16,0,0.012
"143","WKI","WK1","H32",59.803,-144.872,17,"MDS",74120,1,2,2,3,119,35,5,0,0,0,0.156,0,0.013
"144","WKI","WK1","H32",59.803,-144.872,17,"MDS",74120,1,10,1,3,119,33,5,0,0,0,0.16,0,0.024
"145","WKI","WK1","H32",59.803,-144.872,17,"MDS",74120,1,9,1,3,119,30,5,0,0,0,0.154,0,0.011
"146","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,4,1,3,119,29,5,0,0,0,0.155,0,0.015
"147","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,1,2,3,120,36,5,0,0,0,0.18,0,0.015
"148","WKI","WK1","H32",59.803,-144.872,17,"MDS",74120,1,3,2,3,120,31,5,0,0,0,0.17,0,0.012
"149","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,2,1,3,122,33,5,0,0,0,0.192,0,0.03
"150","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,6,1,3,123,34,5,0,0,0,0.131,0,0.016
"151","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,5,2,3,123,32,5,0,0,0,0.047,0,0.01
"152","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,9,1,3,124,34,5,0,0,0,0.145,0,0.017
"153","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,2,2,1,110,35,6,1,0,0,0.112,0,0.009
"154","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,3,2,3,110,31,6,0,0,0,0.128,0,0.014
"155","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,7,1,3,112,31,6,0,0,0,0.128,0,0.012
"156","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,5,1,3,113,35,6,0,0,0,0.115,0,0.009
"157","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,10,2,3,114,22,6,0,1,0,0.129,0,0.011
"158","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,9,2,3,115,38,6,0,0,0,0.15,0,0.011
"159","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,7,1,3,116,37,6,0,0,3,0.149,0,0.014
"160","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,2,1,3,118,30,6,0,0,0,0.152,0,0.013
"161","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,2,2,3,119,33,6,0,0,0,0.158,0,0.009
"162","WKI","WK1","H32",59.803,-144.872,14,"MDS",74120,1,5,1,3,119,33,6,0,0,0,0.115,0,0.012
"163","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,3,1,3,119,29,6,0,0,0,0.182,0,0.014
"164","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,6,2,3,119,24,6,0,0,0,0.151,0,0.016
"165","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,7,2,3,120,30,6,0,0,0,0.133,0,0.014
"166","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,4,2,3,122,36,6,0,0,0,0.18,0,0.013
"167","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,7,1,3,122,32,6,0,0,0,0.16,0,0.012
"168","WKI","WK1","H32",59.803,-144.872,17,"MDS",74120,1,8,1,3,123,25,6,0,0,0,0.14,0,0.007
"169","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,6,1,3,127,28,6,0,0,0,0.173,0,0.013
"170","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,4,1,3,127,20,6,0,0,0,0.151,0,0.013
"171","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,3,1,3,128,21,6,0,0,0,0.153,0,0.013
"172","WKI","WK1","H32",59.803,-144.872,17,"MDS",74120,1,4,2,3,129,29,6,0,0,0,0.16,0,0.013
"173","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,5,2,3,130,34,6,0,0,0,0.188,0,0.016
"174","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,3,1,3,136,24,6,0,0,0,0.151,0,0.017
"175","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,4,1,3,115,28,7,0,0,0,0.139,0,0.01
"176","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,3,1,3,115,27,7,0,1,0,0.143,0,0.013
"177","WKI","WK1","H32",59.803,-144.872,6,"MDS",74120,1,3,1,3,117,35,7,0,0,0,0.15,0,0.009
"178","WKI","WK1","H32",59.803,-144.872,13,"MDS",74120,1,6,1,3,118,34,7,0,0,2,0.131,0,0.013
"179","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,10,2,3,120,32,7,0,0,0,0.155,0,0.01
"180","WKI","WK1","H32",59.803,-144.872,7,"MDS",74120,1,3,1,3,121,31,7,0,0,0,0.139,0,0.015
"181","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,3,1,3,126,29,7,0,0,0,0.174,0,0.016
"182","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,9,2,3,127,22,7,0,0,0,0.179,0,0.016
"183","WKI","WK1","H32",59.803,-144.872,16,"MDS",74120,1,2,1,3,130,38,7,0,0,0,0.128,0,0.017
"184","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,1,1,3,110,24,8,0,0,0,0.131,0,0.009
"185","WKI","WK1","H32",59.803,-144.872,6,"MDS",74120,1,4,2,3,119,23,8,0,1,0,0.162,0,0.014
"186","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,1,2,3,123,33,8,0,0,0,0.185,0,0.017
"187","WKI","WK1","H32",59.803,-144.872,17,"MDS",74120,1,5,1,3,124,26,8,0,0,0,0.168,0,0.008
"188","WKI","WK1","H32",59.803,-144.872,13,"MDS",74120,1,1,1,3,127,30,8,0,0,0,0.184,0,0.017
"189","WKI","WK1","H32",59.803,-144.872,6,"MDS",74120,1,6,2,3,128,23,8,0,0,0,0.174,0,0.015
"190","WKI","WK1","H32",59.803,-144.872,3,"MDS",74120,1,5,2,3,129,27,8,0,0,0,0.218,0,0.016
"191","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,8,2,3,130,21,8,0,0,0,0.243,0,0.02
"192","WKI","WK1","H32",59.803,-144.872,8,"MDS",74120,1,7,2,3,135,25,8,0,0,0,0.226,0,0.02
"193","WKI","WK1","H32",59.803,-144.872,7,"MDS",74120,1,10,2,3,113,24,9,0,0,0,0.121,0,0.011
"194","WKI","WK1","H32",59.803,-144.872,4,"MDS",74120,1,6,2,3,122,21,9,0,0,0,0.157,0,0.013
"195","WKI","WK1","H32",59.803,-144.872,5,"MDS",74120,1,6,2,3,124,27,9,0,0,0,0.166,0,0.014
"196","WKI","WK1","H32",59.803,-144.872,3,"MDS",74120,1,6,2,3,127,35,9,0,0,0,0.168,0,0.018
"197","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,10,1,3,129,28,9,0,0,0,0.165,0,0.017
"198","WKI","WK1","H32",59.803,-144.872,13,"MDS",74120,1,2,1,3,132,32,9,0,0,0,0.174,0,0.016
"199","WKI","WK1","H32",59.803,-144.872,3,"MDS",74120,1,2,1,3,132,27,9,0,1,0,0.161,0,0.017
"200","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,5,1,3,134,22,9,0,0,1,0.188,0,0.02
"201","WKI","WK1","H32",59.803,-144.872,15,"MDS",74120,1,3,2,2,139,27,9,1,0,0,0.213,0,0.018
"202","WKI","WK1","H32",59.803,-144.872,3,"MDS",74120,1,8,2,3,118,29,10,0,0,0,0.168,0,0.017
"203","WKI","WK1","H32",59.803,-144.872,14,"MDS",74120,1,1,1,3,126,27,10,0,0,0,0.154,0,0.012
"204","WKI","WK1","H32",59.803,-144.872,3,"MDS",74120,1,10,2,3,127,30,10,0,0,0,0.165,0,0.016
"205","WKI","WK1","H32",59.803,-144.872,6,"MDS",74120,1,10,1,3,127,21,10,0,1,0,0.221,0,0.021
"206","WKI","WK1","H32",59.803,-144.872,14,"MDS",74120,1,7,2,3,128,29,10,0,0,0,0.161,0,0.016
"207","WKI","WK1","H32",59.803,-144.872,3,"MDS",74120,1,4,2,3,128,23,10,0,0,0,0.155,0,0.015
"208","WKI","WK1","H32",59.803,-144.872,9,"MDS",74120,1,2,1,3,129,24,10,0,0,0,0.169,0,0.011
"209","WKI","WK1","H32",59.803,-144.872,16,"MDS",74120,1,1,2,3,130,26,10,0,0,0,0.215,0,0.014
"210","WKI","WK1","H32",59.803,-144.872,1,"MDS",74120,1,8,1,0,133,30,10,0,0,1,0.194,0,0.019
"211","WKI","WK1","H32",59.803,-144.872,11,"MDS",74120,1,5,1,3,137,35,10,0,0,0,0.166,0,0.017
"212","WKI","WK1","H32",59.803,-144.872,7,"MDS",74120,1,8,1,3,137,34,10,0,1,0,0.275,0,0.02
"213","WKI","WK1","H32",59.803,-144.872,7,"MDS",74120,1,5,2,3,139,29,10,0,1,0,0.226,0,0.021
"214","WKI","WK1","H32",59.803,-144.872,2,"MDS",74120,1,1,1,2,140,30,10,0,0,0,0.162,0,0.019
"215","WKI","WK1","H32",59.803,-144.872,6,"MDS",74120,1,7,2,3,141,24,10,0,1,0,0.266,0,0.018
"216","WKI","WK1","H32",59.803,-144.872,10,"MDS",74120,1,1,2,3,129,28,11,0,0,0,0.222,0,0.014
"217","WKI","WK1","H32",59.803,-144.872,3,"MDS",74120,1,7,1,3,133,26,11,0,0,0,0.201,0,0.018
"218","WKI","WK1","H32",59.803,-144.872,6,"MDS",74120,1,8,2,3,133,24,11,0,0,0,0.203,0,0.018
"219","WKI","WK1","H32",59.803,-144.872,6,"MDS",74120,1,2,1,3,134,29,11,0,1,0,0.19,0,0.014
