District,Bed,haul,Sampler,species_code,size_class,scallop_id,sex,gonad_cond,shell_height,first_annulus,field_age,mud_blister,worm,damage,whole_wt,meat_cond,meat_wt,epi_wt,
KSH,1,1,MDS,74120,1,1,1,3,159,33,12,0,1,0,0.291,0,0.028,,
KSH,1,1,MDS,74120,1,2,2,4,163,29,17,0,1,0,0.333,0,0.024,,
KSH,1,1,MDS,74120,1,3,2,3,138,29,5,0,0,0,0.163,0,0.015,,
KSH,1,1,MDS,74120,1,4,1,3,157,19,14,0,0,0,0.234,1,0.024,,
KSH,1,1,MDS,74120,1,5,1,3,163,24,14,0,1,0,0.283,0,0.033,,
KSH,1,1,MDS,74120,1,6,2,3,161,24,11,0,1,0,0.285,0,0.030,,
KSH,1,1,MDS,74120,1,7,2,3,153,18,10,0,1,0,0.223,0,0.026,,
KSH,1,1,MDS,74120,1,8,1,4,165,31,14,0,1,0,0.277,0,0.030,,
KSH,1,1,MDS,74120,1,9,2,3,123,25,6,0,0,0,0.124,0,0.013,,
KSH,1,1,MDS,74120,1,10,1,4,181,27,20,1,1,0,0.415,0,0.043,,
KSH,1,1,MDS,74120,2,11,0,0,47,23,1,0,0,0,,0,,,
KSH,1,1,MDS,74120,2,12,0,0,34,28,1,0,0,0,,0,,,
KSH,1,1,MDS,74120,2,13,0,0,32,27,1,0,0,0,,0,,,
KSH,1,1,MDS,74120,3,21,0,0,164,25,15,1,0,0,,0,,,
KSH,1,1,MDS,74120,3,22,0,0,163,29,12,0,1,0,,0,,,
KSH,1,1,MDS,74120,3,23,0,0,180,22,16,0,0,0,,0,,,
KSH,1,2,MDS,74120,1,1,1,3,182,27,19,0,0,0,0.362,0,0.037,,
KSH,1,2,MDS,74120,1,2,1,1,,27,13,0,1,15,0.206,0,0.025,,
KSH,1,2,MDS,74120,1,3,2,3,136,30,5,0,0,3,0.156,0,0.022,,
KSH,1,2,MDS,74120,1,4,2,4,167,28,14,0,1,0,0.276,0,0.031,,
KSH,1,2,MDS,74120,1,5,2,4,171,20,15,0,1,0,0.336,0,0.035,,
KSH,1,2,MDS,74120,1,6,2,4,155,25,14,0,1,3,0.278,0,0.029,,
KSH,1,2,MDS,74120,1,7,2,4,170,28,14,0,1,0,0.339,0,0.030,,
KSH,1,2,MDS,74120,1,8,2,4,,,,0,0,125,0.212,0,0.040,,
KSH,1,2,MDS,74120,1,9,1,4,151,27,14,0,1,0,0.276,0,0.031,,
KSH,1,2,MDS,74120,2,11,2,3,90,29,3,0,0,0,,0,,,
KSH,1,2,MDS,74120,2,12,0,0,66,22,2,0,0,0,,0,,,
KSH,1,2,MDS,74120,2,13,0,0,65,24,2,0,0,0,,0,,,
KSH,1,2,MDS,74120,2,14,0,0,34,24,1,0,0,0,,0,,,
KSH,1,2,MDS,74120,3,21,0,0,152,28,11,0,1,0,,0,,,
KSH,1,2,MDS,74120,3,22,0,0,146,31,10,0,0,0,,0,,,
KSH,1,2,MDS,74120,3,23,0,0,155,31,13,0,1,0,,0,,,
KSH,1,2,MDS,74120,3,24,0,0,148,26,9,0,0,0,,0,,,
KSH,1,3,MDS,74120,1,1,2,3,147,21,9,0,1,0,0.225,0,0.029,,
KSH,1,3,MDS,74120,1,2,1,4,159,24,10,0,1,0,0.351,0,0.033,,
KSH,1,3,MDS,74120,1,3,2,4,145,30,6,0,0,0,0.241,0,0.027,,
KSH,1,3,MDS,74120,1,4,2,4,132,24,6,0,0,0,0.213,0,0.019,,
KSH,1,3,MDS,74120,1,5,2,4,168,34,13,0,1,0,0.368,0,0.034,,
KSH,1,3,MDS,74120,1,6,2,4,159,32,12,0,0,0,0.394,0,0.033,,
KSH,1,3,MDS,74120,1,7,2,4,146,26,6,0,0,0,0.276,0,0.022,,
KSH,1,3,MDS,74120,1,8,2,4,148,26,7,0,0,0,0.320,0,0.021,,
KSH,1,3,MDS,74120,1,9,1,4,192,27,22,0,2,0,0.579,0,0.044,,
KSH,1,3,MDS,74120,1,10,1,3,163,34,15,0,1,0,0.410,1,0.037,,
KSH,1,3,MDS,74120,2,11,1,3,71,27,2,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,12,1,3,80,32,2,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,13,1,3,73,26,2,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,14,0,0,69,21,2,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,15,0,0,65,23,2,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,16,0,0,46,19,1,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,17,0,0,46,21,1,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,18,0,0,31,22,1,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,19,0,0,38,29,1,0,0,0,,0,,,
KSH,1,3,MDS,74120,2,20,0,0,49,25,1,0,0,0,,0,,,
KSH,1,3,MDS,74120,3,21,0,0,171,32,11,0,1,1,,0,,,
KSH,1,4,MDS,74120,1,1,1,4,182,30,17,0,1,0,0.373,0,0.041,,
KSH,1,4,MDS,74120,1,2,2,3,149,27,12,0,1,0,0.199,0,0.019,,
KSH,1,4,MDS,74120,1,3,1,2,146,25,11,0,1,0,0.187,0,0.019,,
KSH,1,4,MDS,74120,2,11,0,0,78,23,2,0,0,0,,0,,,
KSH,1,4,MDS,74120,3,21,0,0,176,29,18,0,0,0,,0,,,
KSH,1,5,MDS,74120,1,6,2,4,162,29,9,0,1,0,0.360,0,0.038,0.019,
KSH,1,5,MDS,74120,1,5,1,4,175,28,11,0,2,0,0.607,0,0.050,0.032,
KSH,1,5,MDS,74120,1,1,1,4,157,38,9,0,1,0,0.363,0,0.035,,
KSH,1,5,MDS,74120,1,2,2,4,168,22,9,0,1,0,0.411,0,0.048,,
KSH,1,5,MDS,74120,1,3,2,4,181,27,13,0,3,3,0.447,0,0.048,,
KSH,1,5,MDS,74120,1,4,1,4,,31,9,0,1,13,0.441,0,0.039,,
KSH,1,5,MDS,74120,2,11,1,3,83,28,2,0,0,0,,0,,,
