Bed,large.lb,small.lb,large.kg,small.kg,large.c,small.c,min.l,max.l,min.s,max.s
EK1,431.2457182,2.4912205999999997,195.61,1.1300000000000001,763,5,2,219,0,2
KSH1,854.07640186,67.28279778,387.403,30.519000000000002,1417,1488,0,113,0,331
KSH2,20.81381742,18.41298624,9.440999999999999,8.352,41,421,0,18,2,108
KSH3,11.76605694,1.49693698,5.337,0.679,20,37,1,19,0,37
WK1,610.2608622,41.8767569,276.81,18.995,1766,1336,1,609,0,604
