Bed,year,variable,llN,ulN,N_b,lldbar,uldbar,dbar_b,var_dbar,cv,varN,cvN
EK1,2016.0,large,2164662.425943809,5975852.041095764,3841639.723966494,24292.025877497577,67061.51993149777,43111.207765306855,123628911.7538029,25.791098099665412,981686760003.8444,25.791098099665405
EK1,2016.0,small,13194.455826507217,60557.37563312596,34999.214897427744,148.06930565040082,679.5800205714954,392.76416673131797,17088.27530043283,33.28260090467561,135691023.85324204,33.282600904675604
EK1,2016.0,all,2277113.3263690937,6239202.39555433,3838619.126609703,25553.959447526584,70016.86001070957,43077.310364826655,123248627.98568365,25.77166440749507,978667081718.9585,25.77166440749507
KSH1,2016.0,large,4715472.674932079,8230605.369648011,6378949.800960447,25961.97035144018,45315.23079693889,35120.57369906099,25014684.88706299,14.240850152335142,825220868948.8457,14.240850152335142
KSH1,2016.0,small,3730568.2309204354,10556413.59709589,6565468.0898707425,20539.383532018033,58120.42942848587,36147.48714348259,93352574.45028083,26.72914320028067,3079650731331.5806,26.72914320028067
KSH1,2016.0,all,9336808.244355513,17381148.795917742,13003238.506240277,51405.65019190394,95695.36307833364,71591.90941056145,125803779.73873957,15.66689379017078,4150198369548.2417,15.66689379017078
KSH2,2016.0,large,55929.06170840266,310285.25801005616,171136.3901166159,2644.4000807755397,14670.697778253245,8091.555088256071,9572551.70884048,38.23682868841781,4282017761.777795,38.23682868841781
KSH2,2016.0,small,954877.9978673655,2691396.359406719,1784197.0762054329,45147.89588025369,127252.78295067229,84359.19982058785,433593801.87031436,24.683633025198148,193956263437.13367,24.68363302519815
KSH2,2016.0,all,986661.3456978608,2906974.6740484242,1948275.7415595897,46650.65464292486,137445.61106611937,92117.05633851489,544566540.2515681,25.332930135798794,243596866201.68204,25.332930135798797
KSH3,2016.0,large,11370.623943220871,235882.43343436767,126208.41449794246,1339.2961063864395,27783.56106411869,14865.537632266485,83732323.12192704,61.55537050347253,6035434223.860813,61.55537050347254
KSH3,2016.0,small,0.0,459350.0019511371,241388.42602532255,0.0,54104.82944065219,28432.087871062726,387086987.4931035,69.19831722978905,27901268767.201656,69.19831722978907
KSH3,2016.0,all,11370.623943220871,695232.4353855049,347146.7733613823,1339.2961063864395,81888.39050477088,40888.9014559932,772337433.1474489,67.96699976834837,55670159415.011444,67.96699976834837
WK1,2016.0,large,2663414.857998106,15315779.976790277,8379903.195342391,54735.200534280855,314750.9243072396,172213.38255944086,4302293916.921387,38.08755910176182,10186952606393.225,38.087559101761826
WK1,2016.0,small,1046357.7321604185,13417144.299613614,6430964.425168635,21503.447023436467,275732.5174602058,132161.20890194483,4660670541.662518,51.65593174113348,11035515201598.127,51.65593174113348
WK1,2016.0,all,4256746.926458221,27382609.697433043,14580880.094229875,87479.38607600125,562733.4504199147,299648.172918822,16023726039.010035,42.24449488054286,37940908010773.38,42.24449488054286
