District,Bed,year,variable,llN,ulN,N_lb,lldbar,uldbar,dbar_lb
EKI,EK1,2016.0,large,832080.7194507982,2169442.4975670082,1412648.507824137,9337.680613295908,24345.668247862286,15852.861719494302
EKI,EK1,2016.0,small,638.4131282411736,19615.56381874628,7421.026712402966,7.164326430716794,220.12752574061588,83.27939302438521
EKI,EK1,2016.0,all,857334.9462513672,2136234.882600193,1408369.4860495098,9621.085694662406,23973.009567951885,15804.842173151272
KSH,KSH1,2016.0,large,1814680.64883272,3141745.7788169943,2444376.5719016995,9991.084340872765,17297.50470085886,13458.000175641137
KSH,KSH1,2016.0,small,108910.84920567385,285713.7305669084,189548.29741129949,599.6302879792647,1573.0536286236213,1043.5957573710264
KSH,KSH1,2016.0,all,1997828.7232989399,3310973.6574061266,2638024.012299401,10999.442401029237,18229.222360877204,14524.164577984922
KSH,KSH2,2016.0,large,16287.389478468618,100110.57340622455,56006.06286526209,770.0893370434335,4733.36044473875,2648.0407974119194
KSH,KSH2,2016.0,small,14978.919803965076,90530.11174671908,48603.17860813978,708.2231585799092,4280.383534123834,2298.022629226467
KSH,KSH2,2016.0,all,24064.81708406368,192307.0762028371,106296.30236557117,1137.8164105940277,9092.533153798448,5025.82989908138
KSH,KSH3,2016.0,large,3473.534451176262,89482.794777222,47596.28499843773,409.1324441903724,10539.787370697528,5606.158421488543
KSH,KSH3,2016.0,small,0.0,11866.956572994872,6099.615678519364,0.0,1397.756957949926,718.4470763862619
KSH,KSH3,2016.0,all,3473.534451176262,101349.75135021689,53732.97182883362,409.1324441903724,11937.544328647455,6328.971946859084
WKI,WK1,2016.0,large,673518.8752683722,3276179.9824864785,1847212.4423386287,13841.325015790639,67327.98977571884,37961.62027000881
WKI,WK1,2016.0,small,22563.69861715814,253268.013542669,128481.31947894233,463.70116352565026,5204.850257761386,2640.3888096782234
WKI,WK1,2016.0,all,772301.6562435128,3586796.8442241633,1990974.1984660628,15871.386277096439,73711.40247069798,40916.033671723446
