Bed,year,variable,llN,ulN,N_b,lldbar,uldbar,dbar_b,var_dbar,cv,varN,cvN
EK1,2016.0,large,1427073.1904126995,3924681.3403148465,2465955.725454647,16014.736734515764,44043.1078477707,27673.164913642097,50606823.82003956,25.706663300637977,401848145431.4979,25.706663300637985
EK1,2016.0,small,8318.953701264863,36550.886854079334,21759.05037785409,93.35600607412034,410.1771614193618,244.18191423918853,7425.308526985427,35.28935801945297,58961346.22944312,35.28935801945296
EK1,2016.0,all,1442799.043801677,3839462.3930062125,2478443.968334875,16191.2135989415,43086.77357205939,27813.309037536474,48153885.33487542,24.94956659601682,382370361474.4176,24.94956659601682
KSH1,2016.0,large,3000569.5737338006,5160824.0564311175,4045303.703322205,16520.231094718936,28413.94073903605,22272.222118164427,9481531.57509591,13.825336122816484,312790577242.61566,13.825336122816484
KSH1,2016.0,small,2222348.076039344,6558290.360482767,4164283.597954674,12235.578241696549,36107.96873029107,22927.289533417796,36092115.779515944,26.203147136041714,1190659297938.151,26.203147136041714
KSH1,2016.0,all,5909943.7247748505,11197775.119791742,8241125.126660988,32538.367696827896,61651.57253642979,45373.149406270924,51926785.84629873,15.881692959175902,1713036463632.0017,15.881692959175902
KSH2,2016.0,large,33054.408105302165,199404.8632203713,110889.79718226717,1562.8561751915918,9428.125920584933,5243.016415237219,4184365.5055155335,39.01517768948094,1871760838.8409717,39.01517768948094
KSH2,2016.0,small,594146.0796446594,1726098.2704537339,1136975.9622967076,28092.01322196972,81612.21136897088,53757.72871379232,185710622.86816248,25.34997071688816,83072540097.9436,25.34997071688816
KSH2,2016.0,all,648873.1389420854,1858699.0709990312,1258735.7177978153,30679.58103745085,87881.75276591165,59514.69114883288,205284434.24409458,24.074308743481627,91828346337.15398,24.074308743481627
KSH3,2016.0,large,7260.759867357908,150623.72255447577,79444.01158032175,855.2131763672447,17741.31007708784,9357.362965880066,35032507.50256248,63.253146772810084,2525146644.0354533,63.253146772810084
KSH3,2016.0,small,0.0,293319.8807639791,148859.8394877194,0.0,34548.86699222369,17533.54999855352,142414960.69458583,68.06250845487237,10265284608.361814,68.06250845487234
KSH3,2016.0,all,7260.759867357908,443943.60331845493,228658.9614970641,855.2131763672447,52290.17706931153,26932.739870089998,322951091.1727049,66.72488618242195,23278346946.83768,66.72488618242195
WK1,2016.0,large,1898142.0859070749,9547818.674819594,5329755.746250847,39008.26317112772,196214.9337200903,109530.53321518388,1746038930.4561226,38.1497555457954,4134263296962.713,38.1497555457954
WK1,2016.0,small,664640.0014897861,8962471.383279743,4079771.8516542236,13658.857408339212,184185.60179366506,83842.41372080197,1894715765.9056895,51.916841343264394,4486299653762.12,51.91684134326439
WK1,2016.0,all,2772764.291687694,18890510.729089588,9276600.734523002,56982.41454352023,388214.3594140893,190641.198818804,7089904099.048762,44.16756125708299,16787443730149.621,44.16756125708298
