Percent,EK1,WK1,KSH1,KSH2,KSH3
0%,66.51,88.36,86.79,72.04,47.62
1 - 24%,33.02,11.64,12.48,25.81,38.1
25 - 49%,0.0,0.0,0.44,1.08,9.52
50 - 74%,0.47,0.0,0.29,0.0,4.76
75 - 100%,0.0,0.0,0.0,1.08,0.0
n,215.0,189.0,689.0,93.0,21.0
