Bed,year,llN,ulN,N_b,weight,District,ratio_bar,ll,ul,min_meat_wt,meat_wt,meat_0.05,max_meat_wt,diff
EK1,2016.0,1427073.1904126995,3924681.3403148465,2465955.725454647,241.89500264550264,EKI,0.08238166164321818,0.08056374414168288,0.08414425246057422,61312.27047063028,108337.13148719401,5416.856574359701,176112.5749582975,114800.30448766722
KSH1,2016.0,3000569.5737338006,5160824.0564311175,4045303.703322205,223.42020567375886,KSH,0.11049713767474703,0.10788088252420774,0.11311833342739042,159442.9248963559,220170.54690280653,11008.527345140326,287547.1796760525,128104.25477969658
KSH2,2016.0,33054.408105302165,199404.8632203713,110889.79718226717,157.24444444444444,KSH,0.12149526143227474,0.11305768631230395,0.12973757456101387,1295.5059217324197,4670.472864705212,233.52364323526058,8968.327200593529,7672.821278861109
KSH3,2016.0,7260.759867357908,150623.72255447577,79444.01158032175,195.75,KSH,0.11200090130418418,0.10019023582371217,0.12591707717360523,313.93797816025096,3839.8925162200785,191.99462581100394,8184.919176486772,7870.981198326521
WK1,2016.0,1898142.0859070749,9547818.674819594,5329755.746250847,172.90252976190476,WKI,0.08753282075458015,0.083907321975016,0.0915636994838682,60710.602088070635,177833.7520554082,8891.687602770411,333244.85665526026,272534.2545671896
