Percent,EK1,WK1,KSH1,KSH2,KSH3
0%,58.14,97.88,98.26,100.0,95.24
1 - 24%,39.53,2.12,1.6,0.0,4.76
25 - 49%,1.4,0.0,0.15,0.0,0.0
50 - 74%,0.93,0.0,0.0,0.0,0.0
n,215.0,189.0,689.0,93.0,21.0
