District,Bed,year,n,variable,N_lb,W_c_lb,percent_clap
EKI,EK1,2016.0,31.0,all,1408369.4860495098,280897.3974383124,16.628361106466773
KSH,KSH1,2016.0,56.0,all,2638024.012299401,450012.85587836435,14.572781190397983
KSH,KSH2,2016.0,7.0,all,106296.30236557117,54600.291994579864,33.93502032265676
KSH,KSH3,2016.0,2.0,all,53732.97182883362,16915.22748818836,23.942899679982084
WKI,WK1,2016.0,16.0,all,1990974.1984660628,48945.438650402626,2.3993807285266198
