year,District,Bed,variable,n,area,dbar,var_dbar,cv,ss,N,varN,cvN
2016.0,EKI,EK1,large,31.0,89.11,27494.448206699457,1656998330.9398148,148.05259617067782,49709949928.19444,2450030.2796989884,424437027624.9638,26.591031251082732
2016.0,EKI,EK1,small,31.0,89.11,249.5817499995599,243425.30228290128,197.68332328433993,7302759.068487039,22240.229742460782,62352936.524119936,35.50497298414046
2016.0,EKI,EK1,all,31.0,89.11,27744.029956699014,1652173880.7367787,146.50698510953785,49565216422.10336,2472270.5094414493,423201253716.2841,26.313431309630758
2016.0,KSH,KSH1,large,56.0,181.63,22380.225603981307,548518482.7568587,104.64805789052511,30168516551.627228,4064920.376451125,323130836531.44257,13.984184957772513
2016.0,KSH,KSH1,small,56.0,181.63,23135.319211157108,2112600467.364376,198.67041074931853,116193025705.0407,4202068.028322466,1244527536875.6597,26.548450354057167
2016.0,KSH,KSH1,all,56.0,181.63,45515.54481513841,2887380976.191287,118.05715137453419,158805953690.52078,8266988.404773589,1700948754784.6855,15.776050446500545
2016.0,KSH,KSH2,large,7.0,21.15,5196.308705840972,32070120.506077796,108.9821450991504,192420723.03646678,109901.92912853655,2049383782.868569,41.19137903981552
2016.0,KSH,KSH2,small,7.0,21.15,53692.236758501414,1380869347.4030924,69.20935439818669,8285216084.418554,1135590.807442305,88241989807.67424,26.15867716241947
2016.0,KSH,KSH2,all,7.0,21.15,58888.54546434238,1738950204.19734,70.81295952855875,10433701225.18404,1245492.7365708412,111124507531.00922,26.764782930435445
2016.0,KSH,KSH3,large,2.0,8.49,9298.261626727543,142570134.27026287,128.41404238347909,142570134.27026287,78942.24121091684,5138234767.606987,90.80244016893477
2016.0,KSH,KSH3,small,2.0,8.49,17274.433496111844,596812105.2231817,141.42135623730948,596812105.2231817,146659.94038198955,21509138112.848732,100.0
2016.0,KSH,KSH3,all,2.0,8.49,26572.69512283939,1322777755.3342414,136.86986431243056,1322777755.3342414,225602.18159290642,47672976441.13383,96.7816091954023
2016.0,WKI,WK1,large,16.0,48.66,109720.44902182026,30127065682.086937,158.19430356747617,451905985231.3041,5338997.049401773,4458420847684.777,39.54857589186905
2016.0,WKI,WK1,small,16.0,48.66,83534.44466104246,29487316106.43256,205.56635392545618,442309741596.4884,4064786.077206326,4363746083288.7583,51.391588481364046
2016.0,WKI,WK1,all,16.0,48.66,193254.89368286272,110989129713.73332,172.38906846944337,1664836945705.9998,9403783.1266081,16424973311500.434,43.097267117360836
