District,Bed,year,llN,ulN,N_lb,ratio_bar,ll,ul,min_meat_wt,meat_wt,max_meat_wt,meat_0.05,diff
EKI,EK1,2016.0,832080.7194507982,2169442.4975670082,1412648.507824137,0.08238166164321818,0.08056374414168288,0.08414425246057422,67035.53818706152,116376.33139236511,182546.117213977,5818.816569618256,115510.57902691548
KSH,KSH1,2016.0,1814680.64883272,3141745.7788169943,2444376.5719016995,0.11049713767474703,0.10788088252420774,0.11311833342739042,195769.34989567575,270096.6145943483,355389.04655231716,13504.830729717416,159619.6966566414
KSH,KSH2,2016.0,16287.389478468618,100110.57340622455,56006.06286526209,0.12149526143227474,0.11305768631230395,0.12973757456101387,1841.4145705030248,6804.471249607431,12988.10298163591,340.2235624803716,11146.688411132884
KSH,KSH3,2016.0,3473.534451176262,89482.794777222,47596.28499843773,0.11200090130418418,0.10019023582371217,0.12591707717360523,348.0142358051383,5330.826818555846,11267.411975673342,266.5413409277923,10919.397739868204
WKI,WK1,2016.0,673518.8752683722,3276179.9824864785,1847212.4423386287,0.08753282075458015,0.083907321975016,0.0915636994838682,56513.165123393956,161691.7156108574,299979.1593714565,8084.585780542871,243465.99424806252
